"","SEQN","INDFMMPI","INDFMMPC"
"1148",110410,NA,9
"1149",110411,2.44,3
"1150",110412,NA,NA
"1151",110413,0.63,1
"1152",110414,NA,3
"1153",110415,4.28,3
"1154",110416,1.59,2
"1155",110417,0.53,1
"1156",110418,0.74,1
"1157",110419,1.39,2
"1158",110420,NA,9
"1159",110421,NA,NA
"1160",110422,2.77,3
"1161",110423,1.17,1
"1162",110424,0.88,1
"1163",110425,NA,3
"1164",110426,5,3
"1165",110427,0,1
"1166",110428,0.98,1
"1167",110429,NA,2
"1168",110430,0.31,1
"1169",110431,1.48,2
"1170",110432,0,1
"1171",110433,4.17,3
"1172",110434,NA,2
"1173",110435,5,3
"1174",110436,5,3
"1175",110437,5,3
"1176",110438,0,1
"1177",110439,1.59,2
"1178",110440,NA,NA
